sample_id,filename,dialect,duration_sec,start_time_ms,end_time_ms,start_time_str,end_time_str,source_url,split,mel_path
sample_0001,Egyptian_chunk_0001.wav,Egyptian,7.0,823960,831500,13:43,13:51,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0001.png
sample_0002,Egyptian_chunk_0002.wav,Egyptian,7.0,1260490,1269050,21:00,21:09,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0002.png
sample_0003,Egyptian_chunk_0003.wav,Egyptian,7.0,1140910,1150850,19:00,19:10,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0003.png
sample_0004,Egyptian_chunk_0004.wav,Egyptian,7.0,1754800,1766060,29:14,29:26,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0004.png
sample_0005,Egyptian_chunk_0005.wav,Egyptian,7.0,1198390,1215770,19:58,20:15,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0005.png
sample_0006,Egyptian_chunk_0006.wav,Egyptian,7.0,1017640,1025960,16:57,17:05,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0006.png
sample_0007,Egyptian_chunk_0007.wav,Egyptian,7.0,1445110,1454270,24:05,24:14,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0007.png
sample_0008,Egyptian_chunk_0008.wav,Egyptian,7.0,1071730,1082390,17:51,18:02,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0008.png
sample_0009,Egyptian_chunk_0009.wav,Egyptian,7.0,504820,511910,08:24,08:31,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0009.png
sample_0010,Egyptian_chunk_0010.wav,Egyptian,7.0,181480,189170,03:01,03:09,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0010.png
sample_0011,Egyptian_chunk_0011.wav,Egyptian,7.0,1328830,1337990,22:08,22:17,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0011.png
sample_0012,Egyptian_chunk_0012.wav,Egyptian,7.0,1678780,1686620,27:58,28:06,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0012.png
sample_0013,Egyptian_chunk_0013.wav,Egyptian,7.0,158800,169640,02:38,02:49,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0013.png
sample_0014,Egyptian_chunk_0014.wav,Egyptian,7.0,1104400,1111760,18:24,18:31,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0014.png
sample_0015,Egyptian_chunk_0015.wav,Egyptian,7.0,614440,624020,10:14,10:24,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0015.png
sample_0016,Egyptian_chunk_0016.wav,Egyptian,7.0,1534030,1542650,25:34,25:42,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0016.png
sample_0017,Egyptian_chunk_0017.wav,Egyptian,7.0,602170,609380,10:02,10:09,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0017.png
sample_0018,Egyptian_chunk_0018.wav,Egyptian,7.0,1572340,1580870,26:12,26:20,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0018.png
sample_0019,Egyptian_chunk_0019.wav,Egyptian,7.0,606460,613460,10:06,10:13,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0019.png
sample_0020,Egyptian_chunk_0020.wav,Egyptian,7.0,275170,285710,04:35,04:45,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0020.png
sample_0021,Egyptian_chunk_0021.wav,Egyptian,7.0,805000,812270,13:25,13:32,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0021.png
sample_0022,Egyptian_chunk_0022.wav,Egyptian,7.0,1010920,1020320,16:50,17:00,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0022.png
sample_0023,Egyptian_chunk_0023.wav,Egyptian,7.0,1029730,1041800,17:09,17:21,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0023.png
sample_0024,Egyptian_chunk_0024.wav,Egyptian,7.0,1244530,1254260,20:44,20:54,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0024.png
sample_0025,Egyptian_chunk_0025.wav,Egyptian,7.0,259600,274820,04:19,04:34,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0025.png
sample_0026,Egyptian_chunk_0026.wav,Egyptian,7.0,224260,232100,03:44,03:52,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0026.png
sample_0027,Egyptian_chunk_0027.wav,Egyptian,7.0,448240,456140,07:28,07:36,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0027.png
sample_0028,Egyptian_chunk_0028.wav,Egyptian,7.0,906670,914870,15:06,15:14,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0028.png
sample_0029,Egyptian_chunk_0029.wav,Egyptian,7.0,1512880,1520330,25:12,25:20,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0029.png
sample_0030,Egyptian_chunk_0030.wav,Egyptian,7.0,785980,793400,13:05,13:13,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0030.png
sample_0031,Egyptian_chunk_0031.wav,Egyptian,7.0,765310,779600,12:45,12:59,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0031.png
sample_0032,Egyptian_chunk_0032.wav,Egyptian,7.0,573640,583040,09:33,09:43,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0032.png
sample_0033,Egyptian_chunk_0033.wav,Egyptian,7.0,580450,587450,09:40,09:47,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0033.png
sample_0034,Egyptian_chunk_0034.wav,Egyptian,7.0,1474270,1481660,24:34,24:41,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0034.png
sample_0035,Egyptian_chunk_0035.wav,Egyptian,7.0,803500,810500,13:23,13:30,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0035.png
sample_0036,Egyptian_chunk_0036.wav,Egyptian,7.0,689350,698870,11:29,11:38,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0036.png
sample_0037,Egyptian_chunk_0037.wav,Egyptian,7.0,282640,301040,04:42,05:01,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0037.png
sample_0038,Egyptian_chunk_0038.wav,Egyptian,7.0,1403320,1410830,23:23,23:30,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0038.png
sample_0039,Egyptian_chunk_0039.wav,Egyptian,7.0,40420,47840,00:40,00:47,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0039.png
sample_0040,Egyptian_chunk_0040.wav,Egyptian,7.0,1585510,1594130,26:25,26:34,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0040.png
sample_0041,Egyptian_chunk_0041.wav,Egyptian,7.0,307150,314840,05:07,05:14,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0041.png
sample_0042,Egyptian_chunk_0042.wav,Egyptian,7.0,1437940,1445570,23:57,24:05,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0042.png
sample_0043,Egyptian_chunk_0043.wav,Egyptian,7.0,1608940,1616030,26:48,26:56,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0043.png
sample_0044,Egyptian_chunk_0044.wav,Egyptian,7.0,1762090,1771400,29:22,29:31,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0044.png
sample_0045,Egyptian_chunk_0045.wav,Egyptian,7.0,466450,474380,07:46,07:54,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0045.png
sample_0046,Egyptian_chunk_0046.wav,Egyptian,7.0,1165690,1174280,19:25,19:34,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0046.png
sample_0047,Egyptian_chunk_0047.wav,Egyptian,7.0,512080,520490,08:32,08:40,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0047.png
sample_0048,Egyptian_chunk_0048.wav,Egyptian,7.0,502870,512809,08:22,08:32,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0048.png
sample_0049,Egyptian_chunk_0049.wav,Egyptian,7.0,1627990,1637600,27:07,27:17,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0049.png
sample_0050,Egyptian_chunk_0050.wav,Egyptian,7.0,483670,491900,08:03,08:11,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0050.png
sample_0051,Egyptian_chunk_0051.wav,Egyptian,7.0,629470,643670,10:29,10:43,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0051.png
sample_0052,Egyptian_chunk_0052.wav,Egyptian,7.0,676840,686990,11:16,11:26,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0052.png
sample_0053,Egyptian_chunk_0053.wav,Egyptian,7.0,324370,333170,05:24,05:33,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0053.png
sample_0054,Egyptian_chunk_0054.wav,Egyptian,7.0,760990,773750,12:40,12:53,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0054.png
sample_0055,Egyptian_chunk_0055.wav,Egyptian,7.0,1391170,1399040,23:11,23:19,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0055.png
sample_0056,Egyptian_chunk_0056.wav,Egyptian,7.0,1651300,1661540,27:31,27:41,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0056.png
sample_0057,Egyptian_chunk_0057.wav,Egyptian,7.0,992170,1000100,16:32,16:40,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0057.png
sample_0058,Egyptian_chunk_0058.wav,Egyptian,7.0,624310,632090,10:24,10:32,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0058.png
sample_0059,Egyptian_chunk_0059.wav,Egyptian,7.0,750520,765080,12:30,12:45,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0059.png
sample_0060,Egyptian_chunk_0060.wav,Egyptian,7.0,1772080,1785290,29:32,29:45,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0060.png
sample_0061,Egyptian_chunk_0061.wav,Egyptian,7.0,206800,218600,03:26,03:38,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0061.png
sample_0062,Egyptian_chunk_0062.wav,Egyptian,7.0,513460,520460,08:33,08:40,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0062.png
sample_0063,Egyptian_chunk_0063.wav,Egyptian,7.0,665770,673400,11:05,11:13,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0063.png
sample_0064,Egyptian_chunk_0064.wav,Egyptian,7.0,362110,373850,06:02,06:13,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0064.png
sample_0065,Egyptian_chunk_0065.wav,Egyptian,7.0,774760,785210,12:54,13:05,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0065.png
sample_0066,Egyptian_chunk_0066.wav,Egyptian,7.0,1467790,1475090,24:27,24:35,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0066.png
sample_0067,Egyptian_chunk_0067.wav,Egyptian,7.0,458680,475400,07:38,07:55,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0067.png
sample_0068,Egyptian_chunk_0068.wav,Egyptian,7.0,877390,890480,14:37,14:50,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0068.png
sample_0069,Egyptian_chunk_0069.wav,Egyptian,7.0,1278280,1288730,21:18,21:28,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0069.png
sample_0070,Egyptian_chunk_0070.wav,Egyptian,7.0,552940,561710,09:12,09:21,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0070.png
sample_0071,Egyptian_chunk_0071.wav,Egyptian,7.0,1615330,1622840,26:55,27:02,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0071.png
sample_0072,Egyptian_chunk_0072.wav,Egyptian,7.0,962050,973160,16:02,16:13,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0072.png
sample_0073,Egyptian_chunk_0073.wav,Egyptian,7.0,554830,566600,09:14,09:26,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0073.png
sample_0074,Egyptian_chunk_0074.wav,Egyptian,7.0,1623250,1631840,27:03,27:11,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0074.png
sample_0075,Egyptian_chunk_0075.wav,Egyptian,7.0,418570,426860,06:58,07:06,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0075.png
sample_0076,Egyptian_chunk_0076.wav,Egyptian,7.0,140170,147800,02:20,02:27,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0076.png
sample_0077,Egyptian_chunk_0077.wav,Egyptian,7.0,1452580,1462820,24:12,24:22,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0077.png
sample_0078,Egyptian_chunk_0078.wav,Egyptian,7.0,1323640,1331360,22:03,22:11,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0078.png
sample_0079,Egyptian_chunk_0079.wav,Egyptian,7.0,363010,370430,06:03,06:10,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0079.png
sample_0080,Egyptian_chunk_0080.wav,Egyptian,7.0,664990,673250,11:04,11:13,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0080.png
sample_0081,Egyptian_chunk_0081.wav,Egyptian,7.0,987520,995000,16:27,16:35,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0081.png
sample_0082,Egyptian_chunk_0082.wav,Egyptian,7.0,1221460,1229330,20:21,20:29,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0082.png
sample_0083,Egyptian_chunk_0083.wav,Egyptian,7.0,1128760,1137050,18:48,18:57,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0083.png
sample_0084,Egyptian_chunk_0084.wav,Egyptian,7.0,1269220,1282010,21:09,21:22,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0084.png
sample_0085,Egyptian_chunk_0085.wav,Egyptian,7.0,944800,957350,15:44,15:57,multiple,val,./Dataset/Egyptian/val/mel/Egyptian_chunk_0085.png
sample_0086,Egyptian_chunk_0086.wav,Egyptian,7.0,1425850,1441130,23:45,24:01,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0086.png
sample_0087,Egyptian_chunk_0087.wav,Egyptian,7.0,1406080,1413380,23:26,23:33,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0087.png
sample_0088,Egyptian_chunk_0088.wav,Egyptian,7.0,1087120,1102820,18:07,18:22,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0088.png
sample_0089,Egyptian_chunk_0089.wav,Egyptian,7.0,1765240,1773350,29:25,29:33,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0089.png
sample_0090,Egyptian_chunk_0090.wav,Egyptian,7.0,1725490,1733810,28:45,28:53,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0090.png
sample_0091,Egyptian_chunk_0091.wav,Egyptian,7.0,226540,236450,03:46,03:56,multiple,test,./Dataset/Egyptian/test/mel/Egyptian_chunk_0091.png
sample_0092,Egyptian_chunk_0092.wav,Egyptian,7.0,111790,130460,01:51,02:10,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0092.png
sample_0093,Egyptian_chunk_0093.wav,Egyptian,7.0,13720,26150,00:13,00:26,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0093.png
sample_0094,Egyptian_chunk_0094.wav,Egyptian,7.0,1243630,1256120,20:43,20:56,multiple,train,./Dataset/Egyptian/train/mel/Egyptian_chunk_0094.png
