sample_id,filename,dialect,duration_sec,start_time_ms,end_time_ms,start_time_str,end_time_str,source_url,split,mel_path
sample_0001,Emirati_chunk_0001.wav,Emirati,7.0,1218370,1227650,20:18,20:27,multiple,test,./Dataset/Emirati/test/mel/Emirati_chunk_0001.png
sample_0002,Emirati_chunk_0002.wav,Emirati,7.0,743860,752990,12:23,12:32,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0002.png
sample_0003,Emirati_chunk_0003.wav,Emirati,7.0,1274530,1282460,21:14,21:22,multiple,val,./Dataset/Emirati/val/mel/Emirati_chunk_0003.png
sample_0004,Emirati_chunk_0004.wav,Emirati,7.0,144040,152270,02:24,02:32,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0004.png
sample_0005,Emirati_chunk_0005.wav,Emirati,7.0,1543120,1551500,25:43,25:51,multiple,val,./Dataset/Emirati/val/mel/Emirati_chunk_0005.png
sample_0006,Emirati_chunk_0006.wav,Emirati,7.0,1411600,1418870,23:31,23:38,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0006.png
sample_0007,Emirati_chunk_0007.wav,Emirati,7.0,1260340,1270160,21:00,21:10,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0007.png
sample_0008,Emirati_chunk_0008.wav,Emirati,7.0,327730,337670,05:27,05:37,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0008.png
sample_0009,Emirati_chunk_0009.wav,Emirati,7.0,1777570,1792550,29:37,29:52,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0009.png
sample_0010,Emirati_chunk_0010.wav,Emirati,7.0,72790,85310,01:12,01:25,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0010.png
sample_0011,Emirati_chunk_0011.wav,Emirati,7.0,305830,317990,05:05,05:17,multiple,test,./Dataset/Emirati/test/mel/Emirati_chunk_0011.png
sample_0012,Emirati_chunk_0012.wav,Emirati,7.0,1043260,1050530,17:23,17:30,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0012.png
sample_0013,Emirati_chunk_0013.wav,Emirati,7.0,1305100,1319060,21:45,21:59,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0013.png
sample_0014,Emirati_chunk_0014.wav,Emirati,7.0,155080,164210,02:35,02:44,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0014.png
sample_0015,Emirati_chunk_0015.wav,Emirati,7.0,1047250,1054790,17:27,17:34,multiple,val,./Dataset/Emirati/val/mel/Emirati_chunk_0015.png
sample_0016,Emirati_chunk_0016.wav,Emirati,7.0,1445890,1457300,24:05,24:17,multiple,val,./Dataset/Emirati/val/mel/Emirati_chunk_0016.png
sample_0017,Emirati_chunk_0017.wav,Emirati,7.0,109840,117410,01:49,01:57,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0017.png
sample_0018,Emirati_chunk_0018.wav,Emirati,7.0,1679020,1688030,27:59,28:08,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0018.png
sample_0019,Emirati_chunk_0019.wav,Emirati,7.0,1207720,1215890,20:07,20:15,multiple,test,./Dataset/Emirati/test/mel/Emirati_chunk_0019.png
sample_0020,Emirati_chunk_0020.wav,Emirati,7.0,450370,459560,07:30,07:39,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0020.png
sample_0021,Emirati_chunk_0021.wav,Emirati,7.0,940,9230,00:00,00:09,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0021.png
sample_0022,Emirati_chunk_0022.wav,Emirati,7.0,742180,749510,12:22,12:29,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0022.png
sample_0023,Emirati_chunk_0023.wav,Emirati,7.0,235840,247940,03:55,04:07,multiple,test,./Dataset/Emirati/test/mel/Emirati_chunk_0023.png
sample_0024,Emirati_chunk_0024.wav,Emirati,7.0,800500,821600,13:20,13:41,multiple,train,./Dataset/Emirati/train/mel/Emirati_chunk_0024.png
