sample_id,filename,dialect,duration_sec,start_time_ms,end_time_ms,start_time_str,end_time_str,source_url,split,mel_path
sample_0001,Iraqi_chunk_0001.wav,Iraqi,7.0,352270,359900,05:52,05:59,multiple,test,./Dataset/Iraqi/test/mel/Iraqi_chunk_0001.png
sample_0002,Iraqi_chunk_0002.wav,Iraqi,7.0,1453750,1460990,24:13,24:20,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0002.png
sample_0003,Iraqi_chunk_0003.wav,Iraqi,7.0,5350,13910,00:05,00:13,multiple,val,./Dataset/Iraqi/val/mel/Iraqi_chunk_0003.png
sample_0004,Iraqi_chunk_0004.wav,Iraqi,7.0,999700,1006820,16:39,16:46,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0004.png
sample_0005,Iraqi_chunk_0005.wav,Iraqi,7.0,410560,420380,06:50,07:00,multiple,val,./Dataset/Iraqi/val/mel/Iraqi_chunk_0005.png
sample_0006,Iraqi_chunk_0006.wav,Iraqi,7.0,424960,433640,07:04,07:13,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0006.png
sample_0007,Iraqi_chunk_0007.wav,Iraqi,7.0,448780,456140,07:28,07:36,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0007.png
sample_0008,Iraqi_chunk_0008.wav,Iraqi,7.0,436630,446120,07:16,07:26,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0008.png
sample_0009,Iraqi_chunk_0009.wav,Iraqi,7.0,685060,692810,11:25,11:32,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0009.png
sample_0010,Iraqi_chunk_0010.wav,Iraqi,7.0,904630,912200,15:04,15:12,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0010.png
sample_0011,Iraqi_chunk_0011.wav,Iraqi,7.0,1165600,1173800,19:25,19:33,multiple,test,./Dataset/Iraqi/test/mel/Iraqi_chunk_0011.png
sample_0012,Iraqi_chunk_0012.wav,Iraqi,7.0,92740,101330,01:32,01:41,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0012.png
sample_0013,Iraqi_chunk_0013.wav,Iraqi,7.0,362470,371720,06:02,06:11,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0013.png
sample_0014,Iraqi_chunk_0014.wav,Iraqi,7.0,1642750,1651070,27:22,27:31,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0014.png
sample_0015,Iraqi_chunk_0015.wav,Iraqi,7.0,456730,465350,07:36,07:45,multiple,val,./Dataset/Iraqi/val/mel/Iraqi_chunk_0015.png
sample_0016,Iraqi_chunk_0016.wav,Iraqi,7.0,1702300,1711190,28:22,28:31,multiple,val,./Dataset/Iraqi/val/mel/Iraqi_chunk_0016.png
sample_0017,Iraqi_chunk_0017.wav,Iraqi,7.0,808660,818120,13:28,13:38,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0017.png
sample_0018,Iraqi_chunk_0018.wav,Iraqi,7.0,901870,910430,15:01,15:10,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0018.png
sample_0019,Iraqi_chunk_0019.wav,Iraqi,7.0,808480,816590,13:28,13:36,multiple,test,./Dataset/Iraqi/test/mel/Iraqi_chunk_0019.png
sample_0020,Iraqi_chunk_0020.wav,Iraqi,7.0,702280,710510,11:42,11:50,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0020.png
sample_0021,Iraqi_chunk_0021.wav,Iraqi,7.0,1532620,1542800,25:32,25:42,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0021.png
sample_0022,Iraqi_chunk_0022.wav,Iraqi,7.0,586570,593990,09:46,09:53,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0022.png
sample_0023,Iraqi_chunk_0023.wav,Iraqi,7.0,430840,440900,07:10,07:20,multiple,test,./Dataset/Iraqi/test/mel/Iraqi_chunk_0023.png
sample_0024,Iraqi_chunk_0024.wav,Iraqi,7.0,1287670,1294790,21:27,21:34,multiple,train,./Dataset/Iraqi/train/mel/Iraqi_chunk_0024.png
