sample_id,filename,dialect,duration_sec,start_time_ms,end_time_ms,start_time_str,end_time_str,source_url,split,mel_path
sample_0001,Lebanese_chunk_0001.wav,Lebanese,7.0,102100,109490,01:42,01:49,multiple,test,./Dataset/Lebanese/test/mel/Lebanese_chunk_0001.png
sample_0002,Lebanese_chunk_0002.wav,Lebanese,7.0,270640,277700,04:30,04:37,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0002.png
sample_0003,Lebanese_chunk_0003.wav,Lebanese,7.0,215650,225020,03:35,03:45,multiple,val,./Dataset/Lebanese/val/mel/Lebanese_chunk_0003.png
sample_0004,Lebanese_chunk_0004.wav,Lebanese,7.0,708820,716870,11:48,11:56,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0004.png
sample_0005,Lebanese_chunk_0005.wav,Lebanese,7.0,677770,686570,11:17,11:26,multiple,val,./Dataset/Lebanese/val/mel/Lebanese_chunk_0005.png
sample_0006,Lebanese_chunk_0006.wav,Lebanese,7.0,668980,676220,11:08,11:16,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0006.png
sample_0007,Lebanese_chunk_0007.wav,Lebanese,7.0,1554970,1562000,25:54,26:02,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0007.png
sample_0008,Lebanese_chunk_0008.wav,Lebanese,7.0,561070,568970,09:21,09:28,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0008.png
sample_0009,Lebanese_chunk_0009.wav,Lebanese,7.0,497860,508010,08:17,08:28,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0009.png
sample_0010,Lebanese_chunk_0010.wav,Lebanese,7.0,143530,151700,02:23,02:31,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0010.png
sample_0011,Lebanese_chunk_0011.wav,Lebanese,7.0,1698040,1706420,28:18,28:26,multiple,test,./Dataset/Lebanese/test/mel/Lebanese_chunk_0011.png
sample_0012,Lebanese_chunk_0012.wav,Lebanese,7.0,1270240,1286540,21:10,21:26,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0012.png
sample_0013,Lebanese_chunk_0013.wav,Lebanese,7.0,197620,211490,03:17,03:31,multiple,train,./Dataset/Lebanese/train/mel/Lebanese_chunk_0013.png
