sample_id,filename,dialect,duration_sec,start_time_ms,end_time_ms,start_time_str,end_time_str,source_url,split,mel_path
sample_0001,Palestinian_chunk_0001.wav,Palestinian,7.0,1368160,1376960,22:48,22:56,multiple,test,./Dataset/Palestinian/test/mel/Palestinian_chunk_0001.png
sample_0002,Palestinian_chunk_0002.wav,Palestinian,7.0,1540300,1550720,25:40,25:50,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0002.png
sample_0003,Palestinian_chunk_0003.wav,Palestinian,7.0,1069120,1076270,17:49,17:56,multiple,val,./Dataset/Palestinian/val/mel/Palestinian_chunk_0003.png
sample_0004,Palestinian_chunk_0004.wav,Palestinian,7.0,879610,889040,14:39,14:49,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0004.png
sample_0005,Palestinian_chunk_0005.wav,Palestinian,7.0,700,7970,00:00,00:07,multiple,val,./Dataset/Palestinian/val/mel/Palestinian_chunk_0005.png
sample_0006,Palestinian_chunk_0006.wav,Palestinian,7.0,396070,411470,06:36,06:51,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0006.png
sample_0007,Palestinian_chunk_0007.wav,Palestinian,7.0,1450690,1462700,24:10,24:22,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0007.png
sample_0008,Palestinian_chunk_0008.wav,Palestinian,7.0,1010020,1018820,16:50,16:58,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0008.png
sample_0009,Palestinian_chunk_0009.wav,Palestinian,7.0,619450,627080,10:19,10:27,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0009.png
sample_0010,Palestinian_chunk_0010.wav,Palestinian,7.0,333910,343970,05:33,05:43,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0010.png
sample_0011,Palestinian_chunk_0011.wav,Palestinian,7.0,103270,113030,01:43,01:53,multiple,test,./Dataset/Palestinian/test/mel/Palestinian_chunk_0011.png
sample_0012,Palestinian_chunk_0012.wav,Palestinian,7.0,51070,58250,00:51,00:58,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0012.png
sample_0013,Palestinian_chunk_0013.wav,Palestinian,7.0,1099360,1118180,18:19,18:38,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0013.png
sample_0014,Palestinian_chunk_0014.wav,Palestinian,7.0,984130,991130,16:24,16:31,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0014.png
sample_0015,Palestinian_chunk_0015.wav,Palestinian,7.0,1143160,1151090,19:03,19:11,multiple,val,./Dataset/Palestinian/val/mel/Palestinian_chunk_0015.png
sample_0016,Palestinian_chunk_0016.wav,Palestinian,7.0,828730,845180,13:48,14:05,multiple,val,./Dataset/Palestinian/val/mel/Palestinian_chunk_0016.png
sample_0017,Palestinian_chunk_0017.wav,Palestinian,7.0,1571350,1579670,26:11,26:19,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0017.png
sample_0018,Palestinian_chunk_0018.wav,Palestinian,7.0,497050,510680,08:17,08:30,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0018.png
sample_0019,Palestinian_chunk_0019.wav,Palestinian,7.0,1655260,1662290,27:35,27:42,multiple,test,./Dataset/Palestinian/test/mel/Palestinian_chunk_0019.png
sample_0020,Palestinian_chunk_0020.wav,Palestinian,7.0,731680,738920,12:11,12:18,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0020.png
sample_0021,Palestinian_chunk_0021.wav,Palestinian,7.0,301210,310310,05:01,05:10,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0021.png
sample_0022,Palestinian_chunk_0022.wav,Palestinian,7.0,149680,157100,02:29,02:37,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0022.png
sample_0023,Palestinian_chunk_0023.wav,Palestinian,7.0,1562980,1575890,26:02,26:15,multiple,test,./Dataset/Palestinian/test/mel/Palestinian_chunk_0023.png
sample_0024,Palestinian_chunk_0024.wav,Palestinian,7.0,1625050,1636430,27:05,27:16,multiple,train,./Dataset/Palestinian/train/mel/Palestinian_chunk_0024.png
sample_0025,Palestinian_chunk_0025.wav,Palestinian,7.0,176920,184820,02:56,03:04,multiple,val,./Dataset/Palestinian/val/mel/Palestinian_chunk_0025.png
