sample_id,filename,dialect,duration_sec,start_time_ms,end_time_ms,start_time_str,end_time_str,source_url,split,mel_path
sample_0001,Saudi_chunk_0001.wav,Saudi,7.0,210760,218540,03:30,03:38,multiple,test,./Dataset/Saudi/test/mel/Saudi_chunk_0001.png
sample_0002,Saudi_chunk_0002.wav,Saudi,7.0,593860,601340,09:53,10:01,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0002.png
sample_0003,Saudi_chunk_0003.wav,Saudi,7.0,1499920,1507220,24:59,25:07,multiple,val,./Dataset/Saudi/val/mel/Saudi_chunk_0003.png
sample_0004,Saudi_chunk_0004.wav,Saudi,7.0,1544680,1552820,25:44,25:52,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0004.png
sample_0005,Saudi_chunk_0005.wav,Saudi,7.0,851050,859400,14:11,14:19,multiple,val,./Dataset/Saudi/val/mel/Saudi_chunk_0005.png
sample_0006,Saudi_chunk_0006.wav,Saudi,7.0,487090,496250,08:07,08:16,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0006.png
sample_0007,Saudi_chunk_0007.wav,Saudi,7.0,1421590,1429340,23:41,23:49,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0007.png
sample_0008,Saudi_chunk_0008.wav,Saudi,7.0,85450,98570,01:25,01:38,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0008.png
sample_0009,Saudi_chunk_0009.wav,Saudi,7.0,1038040,1047440,17:18,17:27,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0009.png
sample_0010,Saudi_chunk_0010.wav,Saudi,7.0,283690,293180,04:43,04:53,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0010.png
sample_0011,Saudi_chunk_0011.wav,Saudi,7.0,1065400,1073540,17:45,17:53,multiple,test,./Dataset/Saudi/test/mel/Saudi_chunk_0011.png
sample_0012,Saudi_chunk_0012.wav,Saudi,7.0,352870,361610,05:52,06:01,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0012.png
sample_0013,Saudi_chunk_0013.wav,Saudi,7.0,1475140,1483670,24:35,24:43,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0013.png
sample_0014,Saudi_chunk_0014.wav,Saudi,7.0,644830,653150,10:44,10:53,multiple,train,./Dataset/Saudi/train/mel/Saudi_chunk_0014.png
sample_0015,Saudi_chunk_0015.wav,Saudi,7.0,629320,637070,10:29,10:37,multiple,val,./Dataset/Saudi/val/mel/Saudi_chunk_0015.png
sample_0016,Saudi_chunk_0016.wav,Saudi,7.0,1633510,1640870,27:13,27:20,multiple,val,./Dataset/Saudi/val/mel/Saudi_chunk_0016.png
