sample_id,filename,dialect,duration_sec,start_time_ms,end_time_ms,start_time_str,end_time_str,source_url,split,mel_path
sample_0001,Syrian_chunk_0001.wav,Syrian,7.0,135460,144950,02:15,02:24,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0001.png
sample_0002,Syrian_chunk_0002.wav,Syrian,7.0,547390,554930,09:07,09:14,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0002.png
sample_0003,Syrian_chunk_0003.wav,Syrian,7.0,679390,686570,11:19,11:26,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0003.png
sample_0004,Syrian_chunk_0004.wav,Syrian,7.0,725530,734150,12:05,12:14,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0004.png
sample_0005,Syrian_chunk_0005.wav,Syrian,7.0,1321930,1329110,22:01,22:09,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0005.png
sample_0006,Syrian_chunk_0006.wav,Syrian,7.0,733240,740240,12:13,12:20,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0006.png
sample_0007,Syrian_chunk_0007.wav,Syrian,7.0,1536520,1548320,25:36,25:48,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0007.png
sample_0008,Syrian_chunk_0008.wav,Syrian,7.0,283270,293300,04:43,04:53,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0008.png
sample_0009,Syrian_chunk_0009.wav,Syrian,7.0,145030,152240,02:25,02:32,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0009.png
sample_0010,Syrian_chunk_0010.wav,Syrian,7.0,1196320,1206530,19:56,20:06,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0010.png
sample_0011,Syrian_chunk_0011.wav,Syrian,7.0,1693450,1701710,28:13,28:21,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0011.png
sample_0012,Syrian_chunk_0012.wav,Syrian,7.0,601330,610310,10:01,10:10,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0012.png
sample_0013,Syrian_chunk_0013.wav,Syrian,7.0,1248550,1256780,20:48,20:56,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0013.png
sample_0014,Syrian_chunk_0014.wav,Syrian,7.0,1613950,1621280,26:53,27:01,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0014.png
sample_0015,Syrian_chunk_0015.wav,Syrian,7.0,1590100,1597310,26:30,26:37,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0015.png
sample_0016,Syrian_chunk_0016.wav,Syrian,7.0,757390,766130,12:37,12:46,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0016.png
sample_0017,Syrian_chunk_0017.wav,Syrian,7.0,738610,749060,12:18,12:29,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0017.png
sample_0018,Syrian_chunk_0018.wav,Syrian,7.0,1419580,1427870,23:39,23:47,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0018.png
sample_0019,Syrian_chunk_0019.wav,Syrian,7.0,249850,261200,04:09,04:21,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0019.png
sample_0020,Syrian_chunk_0020.wav,Syrian,7.0,66250,76160,01:06,01:16,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0020.png
sample_0021,Syrian_chunk_0021.wav,Syrian,7.0,522039,532160,08:42,08:52,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0021.png
sample_0022,Syrian_chunk_0022.wav,Syrian,7.0,771430,778760,12:51,12:58,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0022.png
sample_0023,Syrian_chunk_0023.wav,Syrian,7.0,1085650,1092800,18:05,18:12,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0023.png
sample_0024,Syrian_chunk_0024.wav,Syrian,7.0,1382500,1390400,23:02,23:10,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0024.png
sample_0025,Syrian_chunk_0025.wav,Syrian,7.0,958150,965390,15:58,16:05,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0025.png
sample_0026,Syrian_chunk_0026.wav,Syrian,7.0,824230,832010,13:44,13:52,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0026.png
sample_0027,Syrian_chunk_0027.wav,Syrian,7.0,251830,260089,04:11,04:20,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0027.png
sample_0028,Syrian_chunk_0028.wav,Syrian,7.0,1291300,1298900,21:31,21:38,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0028.png
sample_0029,Syrian_chunk_0029.wav,Syrian,7.0,86890,95480,01:26,01:35,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0029.png
sample_0030,Syrian_chunk_0030.wav,Syrian,7.0,360640,368690,06:00,06:08,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0030.png
sample_0031,Syrian_chunk_0031.wav,Syrian,7.0,1017460,1024640,16:57,17:04,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0031.png
sample_0032,Syrian_chunk_0032.wav,Syrian,7.0,1430170,1440200,23:50,24:00,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0032.png
sample_0033,Syrian_chunk_0033.wav,Syrian,7.0,1705660,1713500,28:25,28:33,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0033.png
sample_0034,Syrian_chunk_0034.wav,Syrian,7.0,854020,861020,14:14,14:21,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0034.png
sample_0035,Syrian_chunk_0035.wav,Syrian,7.0,603220,613640,10:03,10:13,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0035.png
sample_0036,Syrian_chunk_0036.wav,Syrian,7.0,1639420,1648970,27:19,27:28,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0036.png
sample_0037,Syrian_chunk_0037.wav,Syrian,7.0,1343860,1353140,22:23,22:33,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0037.png
sample_0038,Syrian_chunk_0038.wav,Syrian,7.0,1550230,1559870,25:50,25:59,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0038.png
sample_0039,Syrian_chunk_0039.wav,Syrian,7.0,901240,908840,15:01,15:08,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0039.png
sample_0040,Syrian_chunk_0040.wav,Syrian,7.0,852820,860570,14:12,14:20,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0040.png
sample_0041,Syrian_chunk_0041.wav,Syrian,7.0,674200,685040,11:14,11:25,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0041.png
sample_0042,Syrian_chunk_0042.wav,Syrian,7.0,156070,175040,02:36,02:55,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0042.png
sample_0043,Syrian_chunk_0043.wav,Syrian,7.0,1314310,1322510,21:54,22:02,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0043.png
sample_0044,Syrian_chunk_0044.wav,Syrian,7.0,117310,124700,01:57,02:04,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0044.png
sample_0045,Syrian_chunk_0045.wav,Syrian,7.0,1297960,1318640,21:37,21:58,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0045.png
sample_0046,Syrian_chunk_0046.wav,Syrian,7.0,939070,946280,15:39,15:46,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0046.png
sample_0047,Syrian_chunk_0047.wav,Syrian,7.0,123040,130430,02:03,02:10,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0047.png
sample_0048,Syrian_chunk_0048.wav,Syrian,7.0,906850,917180,15:06,15:17,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0048.png
sample_0049,Syrian_chunk_0049.wav,Syrian,7.0,359740,368990,05:59,06:08,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0049.png
sample_0050,Syrian_chunk_0050.wav,Syrian,7.0,1023910,1033550,17:03,17:13,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0050.png
sample_0051,Syrian_chunk_0051.wav,Syrian,7.0,629350,645530,10:29,10:45,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0051.png
sample_0052,Syrian_chunk_0052.wav,Syrian,7.0,1067350,1074740,17:47,17:54,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0052.png
sample_0053,Syrian_chunk_0053.wav,Syrian,7.0,842080,852380,14:02,14:12,multiple,train,./Dataset/Syrian/train/mel/Syrian_chunk_0053.png
sample_0054,Syrian_chunk_0054.wav,Syrian,7.0,349270,359270,05:49,05:59,multiple,test,./Dataset/Syrian/test/mel/Syrian_chunk_0054.png
sample_0055,Syrian_chunk_0055.wav,Syrian,7.0,1054420,1061690,17:34,17:41,multiple,val,./Dataset/Syrian/val/mel/Syrian_chunk_0055.png
